"study","t","mean","sd","n","id","rob","indirectness"
"Konstenius 2010 - ISRCTN81602628","stimulants + skill training",-19.1,13.2,12,1,"2",1
"Konstenius 2010 - ISRCTN81602628","placebo + skill training",-8.5,19.8,12,1,"2",1
