"random OR","1","2","3","4","5","6"
"Mixed estimates","--","--","--","--","--","--"
"TMS (left):TMS (right)",22.1068,68.1619,0,0,0,9.7213
"active control:TMS (right)",90.3712,8.6038,0,0,0,1.0251
"active control:sham",88.30749999999999,10.4481,0,0,0,1.2445
"sham:TMS (bilateral)",0,0,0,100,0,0
"sham:TMS (left)",12.228399999999999,60.1218,0,0,0,27.6498
"sham:TMS (right)",63.1405,33.4452,0,0,0,3.4043
"sham:tDCS",0,0,19.7954,0,80.2046,0
"Indirect estimates","--","--","--","--","--","--"
"TMS (bilateral):TMS (left)",8.480599999999999,33.0904,0,44.6042,0,13.8249
"TMS (bilateral):TMS (right)",34.335300000000004,19.0518,0,44.3333,0,2.2695
"active control:TMS (bilateral)",50.092999999999996,7.3911999999999995,0,41.5825,0,0.9333
"active control:TMS (left)",50.86820000000001,38.002700000000004,0,0,0,11.129
"active control:tDCS",50.092999999999996,7.3911999999999995,8.2314,0,33.3511,0.9333
"tDCS:TMS (bilateral)",0,0,9.8977,50,40.1023,0
"tDCS:TMS (left)",8.480599999999999,33.0904,8.8296,0,35.7746,13.8249
"tDCS:TMS (right)",34.335300000000004,19.0518,8.776,0,35.5574,2.2695
