"CBT","0.06 (-0.69 to 0.82)","-0.06 (-0.60 to 0.49)","0.37 (-0.17 to 0.91)"
"0.06 (-0.69 to 0.82)","DBT",".","."
"-0.06 (-0.60 to 0.49)","-0.12 (-1.05 to 0.81)","neurofeedback","0.42 (-0.12 to 0.97)"
"0.37 (-0.17 to 0.91)","0.31 (-0.62 to 1.24)","0.42 (-0.12 to 0.97)","sham + neurofeedback"
