"CBT","0.66 ( 0.13 to  1.19)","0.66 (-0.11 to  1.44)","0.13 (-0.88 to  1.13)",".",".","-0.21 (-0.62 to  0.19)","-0.45 (-0.79 to -0.11)"
"0.66 ( 0.13 to  1.19)","CBT + stimulants",".",".",".",".",".","."
"0.66 (-0.11 to  1.44)","0.00 (-0.94 to  0.94)","DBT",".",".",".",".","."
"0.13 (-0.88 to  1.13)","-0.53 (-1.67 to  0.60)","-0.54 (-1.80 to  0.73)","hypnotherapy",".",".",".","."
"0.67 (-0.06 to  1.40)","0.01 (-0.89 to  0.92)","0.01 (-1.06 to  1.08)","0.55 (-0.69 to  1.79)","mindfulness","-0.19 (-0.77 to  0.39)",".","-1.16 (-1.81 to -0.51)"
"0.48 (-0.45 to  1.42)","-0.17 (-1.25 to  0.90)","-0.18 (-1.39 to  1.04)","0.36 (-1.01 to  1.73)","-0.19 (-0.77 to  0.39)","psychoeducation",".","."
"-0.14 (-0.53 to  0.24)","-0.80 (-1.46 to -0.15)","-0.80 (-1.67 to  0.06)","-0.27 (-1.34 to  0.80)","-0.82 (-1.61 to -0.03)","-0.63 (-1.61 to  0.35)","relaxation therapy","-0.60 (-1.18 to -0.03)"
"-0.49 (-0.82 to -0.16)","-1.15 (-1.77 to -0.52)","-1.15 (-1.99 to -0.31)","-0.61 (-1.67 to  0.44)","-1.16 (-1.81 to -0.51)","-0.97 (-1.85 to -0.10)","-0.34 (-0.79 to  0.10)","waiting list"
