"study","t","r","n","id","rob","indirectness"
"Konstenius 2010 - ISRCTN81602628","stimulants + skill training",5,12,1,"2",1
"Konstenius 2010 - ISRCTN81602628","placebo + skill training",2,12,1,"2",1
