"study","t","r","n","id","rob","indirectness"
"Emilsson 2011","CBT + TAU",7,27,1,"2",1
"Emilsson 2011","TAU",6,27,1,"2",1
"Janssen 2018","mindfulness + TAU",9,60,2,"2",1
"Janssen 2018","TAU",0,60,2,"2",1
"Moritz 2020","DBT + TAU",3,16,3,"2",1
"Moritz 2020","TAU",1,15,3,"2",1
"Nakashima 2021","CBT + TAU",1,24,4,"2",1
"Nakashima 2021","TAU",6,24,4,"2",1
"Hanssen 2023","GMT + TAU",9,41,5,"2",1
"Hanssen 2023","TAU",0,40,5,"2",1
